Artist,Track,Year,Chords
The Four Preps,Big Man,1950,"['E', 'E', 'D', 'A', 'E', 'E', 'E', 'D', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'B', 'E', 'A', 'B', 'E', 'A', 'D', 'A', 'E', 'E', 'E', 'D', 'A', 'E', 'E', 'E', 'D', 'A', 'E', 'D', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'B', 'E', 'A', 'B', 'E', 'A', 'B', 'E', 'A', 'D', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E']"
The Honeycones,Op,1950,"['A', 'A7', 'E7', 'E', 'Dm7', 'D', 'G7', 'G', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'E7', 'E', 'A', 'A', 'A', 'G7', 'G', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'E7', 'E', 'A7', 'A', 'A', 'G7', 'G', 'A', 'A7', 'Dm7', 'D', 'Dm7', 'D', 'Dm7', 'D', 'E7', 'E', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'E7', 'E', 'A7', 'A', 'A', 'G7', 'G', 'A', 'A7', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'A7', 'A', 'E7', 'E', 'A7', 'A', 'A', 'G7', 'G', 'A', 'E7', 'E', 'A7', 'A', 'A', 'G7', 'G', 'A']"
The Playmates,Don't Go Home,1950,"['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'A7sus4', 'D', 'G', 'A7sus4', 'Asus2', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em7', 'D', 'A', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'A', 'G', 'A7sus4', 'D', 'G', 'A7sus4', 'Asus2', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em7', 'D', 'A', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'Asus2', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em7', 'D', 'A', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em', 'D', 'A']"
Frank Gallup,Got A Match?,1950,"['G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'A7sus4', 'D', 'G', 'A7sus4', 'Asus2', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em7', 'D', 'A', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'A', 'G', 'A7sus4', 'D', 'G', 'A7sus4', 'Asus2', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em7', 'D', 'A', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'Asus2', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em7', 'D', 'A', 'D', 'A', 'Em7', 'D', 'A', 'Em', 'A', 'D', 'A', 'Bm', 'Em', 'D', 'A']"
Connie Francis,Stupid Cupid,1950,"['A#', 'D#', 'D#7', 'G#', 'D#', 'A#', 'G#', 'D#', 'A#', 'D#', 'D#', 'D#7', 'G#', 'D#', 'A#', 'G#', 'D#', 'A#', 'D#', 'G#', 'D#', 'G#', 'F', 'A#', 'A#7', 'D#', 'D#7', 'G#', 'D#', 'A#', 'G#', 'D#', 'A#', 'D#', 'G#', 'D#', 'G#', 'F', 'A#', 'D#', 'D#7', 'G#', 'D#', 'A#', 'G#', 'D#', 'A#', 'D#', 'A#', 'G#', 'D#', 'A#', 'D#', 'D#']"
Eydie Gorme,Gotta Have Rain,1950,"['G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'Em', 'Am', 'D', 'C', 'G', 'D', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'Em', 'Am', 'D', 'C', 'G', 'D', 'G', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'G', 'Em', 'D', 'C', 'Am', 'Em', 'G', 'Am', 'Em', 'D', 'A', 'F#m', 'Bm', 'A', 'E', 'A', 'F#m', 'Bm', 'A', 'E']"
Paul Anka,Midnight,1950,"['G', 'Em', 'C', 'G', 'G', 'Em', 'C', 'G', 'C', 'G', 'D', 'G', 'C', 'Em', 'D', 'C', 'D', 'G', 'G', 'Em', 'C', 'G', 'C', 'G', 'D', 'G', 'C', 'Em', 'D', 'C', 'D', 'G']"
David Seville,The Bird On My Head,1950,"['C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'G7', 'Fmaj7', 'G', 'Fmaj7', 'G', 'C', 'C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'G7', 'Fmaj7', 'G', 'Fmaj7', 'G', 'C']"
Bill Doggett,Blip Blop,1950,"['F', 'C', 'Bb', 'F', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Bb', 'F', 'Bb', 'F', 'C', 'F', 'Dm', 'A7', 'Bb', 'F', 'Bb', 'F', 'C', 'F', 'Dm', 'A7', 'Bb', 'F', 'Bb', 'F', 'C', 'F']"
Jackie Wilson,To Be Loved,1950,"['F', 'Bb', 'Dm', 'Bb', 'Gm', 'Em', 'C', 'F', 'A7', 'Bb', 'G', 'Bbm', 'F', 'Gm', 'G', 'Gm', 'C7', 'F', 'Dm', 'Gm', 'C7', 'F', 'A7', 'Bb', 'Db', 'F', 'Dm', 'Gm', 'C7', 'F', 'Gm', 'Ab', 'F', 'Bb', 'C7/G', 'F', 'Gm', 'C7', 'F', 'F7', 'Bb', 'Bdim7', 'F', 'G', 'Dm', 'G7', 'Gm7', 'C7', 'F', 'A7', 'Bb', 'Db', 'F', 'Dm', 'Gm', 'C7', 'F', 'Dm', 'Gm', 'C7', 'F', 'Dm', 'Gm', 'C7', 'Bb', 'F']"
